iter	Passed	Remaining
0	5	522
1	8	437
2	12	405
3	15	372
4	20	383
5	26	414
6	36	479
7	42	483
8	47	479
9	50	458
10	53	434
11	55	407
12	57	385
13	59	367
14	61	348
15	62	330
16	64	315
17	66	303
18	68	291
19	69	278
20	70	265
21	71	254
22	73	245
23	74	236
24	76	228
25	77	220
26	78	212
27	79	204
28	80	197
29	82	191
30	83	184
31	84	178
32	85	172
33	85	166
34	86	161
35	87	155
36	88	151
37	89	146
38	90	141
39	91	137
40	92	132
41	92	127
42	93	123
43	93	119
44	94	115
45	95	111
46	95	107
47	96	104
48	97	101
49	97	97
50	98	94
51	99	91
52	99	88
53	100	85
54	101	82
55	101	80
56	102	77
57	103	74
58	104	72
59	104	69
60	105	67
61	106	65
62	106	62
63	107	60
64	108	58
65	108	56
66	109	53
67	110	51
68	110	49
69	111	47
70	112	45
71	112	43
72	113	41
73	114	40
74	114	38
75	115	36
76	116	34
77	116	32
78	117	31
79	118	29
80	118	27
81	119	26
82	120	24
83	120	23
84	121	21
85	122	19
86	122	18
87	123	16
88	124	15
89	124	13
90	125	12
91	126	11
92	127	9
93	128	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
