iter	Passed	Remaining
0	144	144673
1	145	72736
2	147	49062
3	148	37086
4	149	29832
5	150	24990
6	151	21537
7	156	19431
8	157	17377
9	158	15725
10	161	14563
11	163	13423
12	164	12510
13	165	11689
14	169	11159
15	171	10555
16	173	10014
17	176	9606
18	177	9163
19	179	8803
20	180	8433
21	184	8222
22	186	7906
23	188	7649
24	189	7397
25	191	7159
26	192	6924
27	193	6702
28	194	6500
29	196	6344
30	198	6202
31	199	6031
32	200	5872
33	202	5766
34	204	5639
35	205	5505
36	206	5377
37	207	5258
38	210	5177
39	211	5084
40	213	4987
41	214	4892
42	215	4798
43	217	4720
44	218	4642
45	220	4563
46	221	4489
47	222	4413
48	223	4342
49	224	4270
50	225	4200
51	231	4218
52	232	4154
53	233	4090
54	235	4041
55	237	3999
56	238	3946
57	239	3889
58	240	3836
59	242	3799
60	243	3751
61	244	3703
62	246	3660
63	247	3619
64	248	3577
65	250	3539
66	251	3500
67	253	3468
68	254	3434
69	256	3403
70	257	3364
71	258	3332
72	262	3338
73	263	3302
74	264	3267
75	265	3232
76	267	3210
77	269	3185
78	270	3154
79	271	3124
80	272	3096
81	277	3105
82	278	3072
83	279	3050
84	280	3022
85	282	3003
86	284	2982
87	286	2965
88	287	2939
89	288	2913
90	292	2926
91	294	2902
92	295	2878
93	296	2854
94	298	2841
95	300	2825
96	301	2803
97	302	2780
98	303	2758
99	304	2744
100	306	2732
101	308	2711
102	309	2692
103	310	2674
104	314	2679
105	315	2660
106	316	2642
107	317	2625
108	319	2613
109	321	2599
110	322	2582
111	323	2565
112	324	2548
113	326	2534
114	330	2543
115	331	2529
116	332	2510
117	333	2495
118	336	2493
119	337	2477
120	338	2460
121	339	2444
122	341	2432
123	343	2425
124	344	2412
125	345	2398
126	346	2381
127	347	2366
128	351	2373
129	352	2361
130	354	2349
131	355	2335
132	356	2321
133	359	2321
134	360	2308
135	361	2295
136	362	2283
137	363	2271
138	366	2267
139	368	2261
140	369	2248
141	369	2234
142	370	2222
143	374	2225
144	375	2215
145	376	2203
146	377	2192
147	378	2180
148	381	2177
149	383	2170
150	384	2160
151	385	2148
152	386	2137
153	390	2142
154	391	2131
155	392	2121
156	393	2111
157	395	2107
158	396	2098
159	397	2088
160	398	2076
161	400	2069
162	401	2060
163	403	2057
164	404	2049
165	406	2040
166	407	2031
167	408	2022
168	412	2030
169	414	2022
170	415	2014
171	416	2006
172	418	2000
173	419	1992
174	420	1983
175	421	1974
176	422	1966
177	424	1959
178	429	1968
179	430	1960
180	433	1960
181	434	1952
182	436	1947
183	437	1940
184	438	1932
185	440	1926
186	441	1920
187	442	1912
188	443	1904
189	444	1896
190	445	1889
191	450	1894
192	451	1887
193	452	1879
194	453	1872
195	455	1867
196	456	1861
197	458	1855
198	459	1850
199	460	1843
200	465	1850
201	466	1844
202	467	1836
203	469	1830
204	472	1830
205	472	1823
206	473	1815
207	475	1809
208	476	1802
209	477	1796
210	479	1793
211	480	1786
212	481	1780
213	482	1773
214	484	1767
215	485	1762
216	486	1755
217	487	1748
218	488	1742
219	489	1736
220	491	1732
221	492	1727
222	493	1720
223	494	1714
224	495	1708
225	497	1705
226	499	1701
227	502	1701
228	503	1695
229	504	1690
230	506	1686
231	508	1682
232	509	1675
233	510	1671
234	511	1666
235	516	1670
236	517	1665
237	518	1660
238	520	1657
239	524	1661
240	525	1655
241	527	1650
242	529	1648
243	530	1644
244	531	1639
245	533	1634
246	534	1629
247	537	1631
248	538	1625
249	539	1619
250	541	1614
251	542	1609
252	544	1607
253	546	1604
254	548	1601
255	549	1597
256	553	1601
257	554	1596
258	556	1591
259	560	1595
260	561	1590
261	563	1585
262	564	1581
263	566	1578
264	568	1577
265	569	1572
266	570	1567
267	571	1561
268	575	1565
269	577	1560
270	578	1555
271	579	1550
272	580	1546
273	582	1544
274	584	1539
275	585	1534
276	586	1530
277	587	1527
278	591	1529
279	592	1524
280	593	1519
281	594	1514
282	596	1512
283	598	1507
284	599	1503
285	600	1498
286	601	1494
287	602	1490
288	604	1487
289	606	1485
290	608	1482
291	609	1477
292	610	1473
293	614	1475
294	615	1470
295	617	1467
296	618	1464
297	620	1461
298	621	1457
299	622	1453
300	623	1448
301	624	1444
302	631	1453
303	634	1452
304	635	1448
305	636	1444
306	637	1439
307	638	1435
308	640	1432
309	645	1437
310	646	1432
311	647	1428
312	649	1424
313	650	1421
314	652	1417
315	653	1413
316	654	1410
317	655	1406
318	658	1406
319	659	1402
320	661	1398
321	662	1394
322	665	1394
323	666	1391
324	667	1386
325	668	1382
326	669	1378
327	671	1375
328	674	1376
329	675	1372
330	677	1368
331	678	1364
332	679	1360
333	680	1357
334	682	1354
335	683	1350
336	684	1346
337	685	1341
338	689	1343
339	690	1340
340	691	1336
341	692	1332
342	693	1329
343	695	1325
344	696	1322
345	697	1318
346	698	1314
347	699	1311
348	703	1311
349	704	1307
350	705	1303
351	706	1299
352	707	1296
353	710	1297
354	711	1293
355	712	1289
356	713	1285
357	715	1282
358	716	1279
359	718	1277
360	719	1274
361	720	1270
362	721	1266
363	722	1263
364	727	1266
365	728	1262
366	729	1258
367	730	1255
368	732	1253
369	734	1250
370	735	1247
371	736	1243
372	737	1240
373	742	1243
374	744	1240
375	745	1236
376	746	1233
377	748	1231
378	749	1227
379	750	1224
380	751	1220
381	753	1218
382	755	1216
383	756	1213
384	757	1210
385	758	1207
386	764	1210
387	765	1206
388	766	1203
389	767	1200
390	771	1202
391	772	1198
392	773	1195
393	775	1192
394	777	1190
395	778	1187
396	779	1183
397	780	1180
398	782	1178
399	783	1175
400	784	1172
401	786	1170
402	788	1167
403	789	1164
404	791	1162
405	792	1158
406	795	1158
407	796	1155
408	797	1152
409	799	1149
410	800	1147
411	803	1147
412	804	1143
413	805	1140
414	806	1136
415	807	1134
416	811	1134
417	812	1130
418	813	1127
419	814	1124
420	815	1120
421	821	1125
422	822	1122
423	823	1119
424	825	1116
425	826	1114
426	827	1111
427	828	1107
428	829	1104
429	831	1101
430	833	1100
431	834	1097
432	836	1094
433	837	1091
434	838	1088
435	839	1086
436	840	1083
437	842	1080
438	843	1077
439	844	1074
440	845	1072
441	850	1073
442	851	1070
443	852	1067
444	856	1067
445	857	1065
446	858	1062
447	859	1058
448	860	1056
449	863	1055
450	864	1052
451	865	1049
452	867	1046
453	868	1043
454	872	1044
455	873	1042
456	874	1039
457	875	1036
458	877	1034
459	879	1032
460	880	1029
461	881	1027
462	883	1024
463	887	1025
464	889	1022
465	890	1019
466	891	1017
467	893	1015
468	894	1012
469	895	1009
470	896	1006
471	897	1004
472	898	1001
473	900	998
474	901	996
475	902	993
476	903	990
477	904	987
478	905	985
479	908	984
480	909	981
481	911	979
482	912	976
483	915	976
484	917	974
485	918	971
486	919	968
487	921	966
488	923	965
489	925	963
490	927	961
491	928	958
492	933	959
493	934	957
494	936	955
495	938	953
496	939	950
497	940	948
498	941	945
499	942	942
500	985	981
501	989	981
502	997	985
503	998	982
504	999	979
505	1000	977
506	1002	974
507	1003	971
508	1004	969
509	1005	966
510	1006	963
511	1009	962
512	1011	959
513	1012	956
514	1013	954
515	1014	951
516	1015	949
517	1017	946
518	1019	945
519	1020	942
520	1021	939
521	1026	940
522	1027	937
523	1028	934
524	1029	931
525	1031	929
526	1033	927
527	1034	924
528	1035	921
529	1037	920
530	1039	918
531	1040	915
532	1042	913
533	1043	910
534	1045	908
535	1048	907
536	1057	912
537	1059	910
538	1062	908
539	1070	911
540	1072	909
541	1074	908
542	1076	906
543	1080	905
544	1081	903
545	1083	900
546	1089	902
547	1091	899
548	1092	897
549	1095	896
550	1097	894
551	1110	901
552	1112	899
553	1114	896
554	1120	898
555	1121	895
556	1126	896
557	1128	893
558	1129	891
559	1131	889
560	1133	887
561	1135	884
562	1136	882
563	1139	880
564	1140	878
565	1142	875
566	1143	873
567	1144	870
568	1150	871
569	1151	869
570	1154	867
571	1155	864
572	1157	862
573	1159	860
574	1166	861
575	1167	859
576	1170	858
577	1172	855
578	1173	853
579	1176	852
580	1178	849
581	1179	847
582	1180	844
583	1183	843
584	1184	840
585	1186	838
586	1187	835
587	1188	832
588	1210	845
589	1212	842
590	1216	841
591	1217	839
592	1219	836
593	1220	834
594	1222	831
595	1224	830
596	1227	828
597	1231	827
598	1233	825
599	1234	822
600	1238	822
601	1239	819
602	1241	817
603	1242	814
604	1245	812
605	1246	810
606	1247	807
607	1248	804
608	1249	802
609	1250	799
610	1254	798
611	1255	795
612	1256	793
613	1257	790
614	1258	787
615	1261	786
616	1261	783
617	1263	780
618	1263	777
619	1265	775
620	1266	772
621	1267	770
622	1268	767
623	1269	765
624	1270	762
625	1271	759
626	1273	757
627	1276	756
628	1277	753
629	1278	751
630	1280	748
631	1281	746
632	1283	743
633	1284	741
634	1285	738
635	1286	736
636	1287	733
637	1290	732
638	1292	729
639	1293	727
640	1294	724
641	1295	722
642	1296	720
643	1298	717
644	1299	715
645	1300	712
646	1301	709
647	1302	707
648	1303	704
649	1305	702
650	1306	700
651	1307	697
652	1308	695
653	1309	692
654	1310	690
655	1312	688
656	1313	685
657	1314	683
658	1315	680
659	1316	678
660	1318	675
661	1322	675
662	1323	672
663	1325	670
664	1330	670
665	1331	667
666	1333	665
667	1335	663
668	1337	661
669	1338	659
670	1339	656
671	1340	654
672	1343	652
673	1344	650
674	1346	648
675	1347	645
676	1349	643
677	1350	641
678	1351	638
679	1352	636
680	1353	634
681	1354	631
682	1355	629
683	1360	628
684	1361	626
685	1363	623
686	1365	622
687	1367	619
688	1368	617
689	1369	615
690	1370	612
691	1371	610
692	1373	608
693	1374	606
694	1375	603
695	1377	601
696	1377	599
697	1378	596
698	1382	595
699	1383	592
700	1384	590
701	1385	588
702	1389	586
703	1390	584
704	1391	582
705	1392	579
706	1393	577
707	1394	575
708	1396	573
709	1397	570
710	1398	568
711	1399	566
712	1400	563
713	1402	561
714	1403	559
715	1405	557
716	1406	555
717	1407	552
718	1408	550
719	1409	548
720	1410	545
721	1411	543
722	1412	541
723	1413	538
724	1414	536
725	1415	534
726	1419	533
727	1421	531
728	1422	528
729	1423	526
730	1425	524
731	1426	522
732	1427	519
733	1428	517
734	1429	515
735	1430	513
736	1433	511
737	1434	509
738	1435	507
739	1437	504
740	1437	502
741	1438	500
742	1441	498
743	1442	496
744	1443	494
745	1444	491
746	1445	489
747	1447	487
748	1448	485
749	1449	483
750	1450	480
751	1451	478
752	1452	476
753	1453	474
754	1454	472
755	1457	470
756	1458	468
757	1459	466
758	1460	463
759	1461	461
760	1464	459
761	1465	457
762	1466	455
763	1467	453
764	1468	451
765	1469	448
766	1470	446
767	1471	444
768	1472	442
769	1473	440
770	1474	438
771	1475	435
772	1476	433
773	1478	431
774	1478	429
775	1480	427
